,Year,World_ff,World_nuclear,World_ren,Ren_share_World,Portugal_ff,Portugal_nuclear,Portugal_ren,Ren_share_Portugal
0,1985,6279.434,1488.922,2057.643,20.940802049745784,0.0,0.0,11.241,100.0
1,1986,6433.934,1594.736,2092.305,20.672958879949803,0.0,0.0,9.12,100.0
2,1987,6751.866,1734.733,2125.555,20.029439829086535,0.0,0.0,9.767,100.0
3,1988,6991.242,1891.249,2193.343,19.802960210490696,0.0,0.0,12.886,100.0
4,1989,7447.904,1945.011,2194.831,18.940965740878337,0.0,0.0,6.482,100.0
5,1990,7609.668,2000.462,2279.93,19.175092472199466,18.5,0.0,9.83,34.69819978821038
6,1991,7717.489,2096.175,2336.021,19.227008766070888,19.88,0.0,9.84,33.10901749663526
7,1992,7799.584,2112.089,2345.248,19.13407127287514,24.12,0.0,5.49,18.541033434650455
8,1993,7847.675,2184.826,2482.805,19.83814858382208,21.56,0.0,9.43,30.42917070022588
9,1994,8109.837,2225.844,2505.03,19.508499178900607,19.7,0.0,11.63,37.12097031599107
10,1995,8325.329,2322.396,2640.898,19.873375894552808,23.77,0.0,9.38,28.295625942684772
11,1996,8614.14,2406.801,2680.974,19.56641827073077,18.63,0.0,15.78,45.85876198779425
12,1997,8896.542,2390.277,2740.197,19.535138478490367,19.91,0.0,14.23,41.6813122437024
13,1998,9193.574,2431.38,2772.457,19.25663579375486,24.76,0.0,14.15,36.36597275764585
14,1999,9476.562,2524.361,2805.202,18.946226646067085,34.29,0.0,8.62,20.088557445816825
15,2000,9598.06,2505.93,2874.4,19.190313511665806,30.51,0.0,12.87,29.668049792531114
16,2001,9810.06,2572.31,2814.89,18.52235205556791,30.43,0.0,15.74,34.09140134286333
17,2002,10249.42,2600.35,2882.15,18.320395730463922,35.92,0.0,9.73,21.314348302300107
18,2003,10805.79,2576.19,2910.59,17.864523522071714,28.82,0.0,17.7,38.048151332760106
19,2004,11255.24,2681.18,3142.96,18.402073143170302,32.51,0.0,12.31,27.46541722445337
20,2005,11768.76,2685.38,3291.33,18.54743774044869,37.93,0.0,8.25,17.8648765699437
21,2006,12295.7,2719.87,3440.17,18.640108714145303,32.85,0.0,15.72,32.365657813465106
22,2007,13128.37,2665.34,3548.53,18.34601369851682,30.68,0.0,16.21,34.5702708466624
23,2008,13182.88,2654.51,3799.0,19.34673328447846,30.84,0.0,14.64,32.189973614775724
24,2009,13036.77,2617.32,3891.98,19.911828822878462,31.19,0.0,18.29,36.96443007275666
25,2010,14005.49,2686.63,4195.52,20.08613706479047,25.34,0.0,28.35,52.80312907431552
26,2011,14655.33,2576.2,4408.04,20.370275379778803,27.77,0.0,24.11,46.47262914417888
27,2012,14961.24,2403.18,4725.22,21.39111366233221,26.2,0.0,19.37,42.50603467193329
28,2013,15278.14,2419.42,5035.94,22.152066333824532,21.06,0.0,29.47,58.32178903621611
29,2014,15521.01,2468.28,5308.65,22.78592012856072,20.39,0.0,31.57,60.758275596612776
30,2015,15541.6,2501.5,5521.27,23.430586092477757,26.9,0.0,24.37,47.53267017749172
31,2016,15794.53,2533.12,5869.11,24.255768127633615,26.83,0.0,32.3,54.625401657365124
32,2017,16090.55,2548.19,6238.26,25.076415966555455,35.12,0.0,22.58,39.13344887348353
33,2018,16573.16,2620.13,6660.83,25.763127888321087,29.0,0.0,29.41,50.35096730011984
34,2019,16544.52,2723.79,7022.66,26.711300495949747,24.32,0.0,27.41,52.98666151169533
35,2020,16024.75,2635.81,7446.28,28.52233361065529,21.43,0.0,30.11,58.42064415987582
36,2021,16992.07,2735.52,7792.93,28.316797793064957,18.06,0.0,30.72,62.976629766297656
