,Year,World_ff,World_ren,World_nuclear,Portugal_ff,Portugal_ren,Portugal_nuclear
0,1965,93.751,6.064,0.165,76.308,23.692,0.0
1,1966,93.631,6.138,0.211,71.583,28.417,0.0
2,1967,93.692,6.046,0.242,72.485,27.515,0.0
3,1968,93.681,6.01,0.29,74.227,25.773,0.0
4,1969,93.696,5.964,0.322,70.989,29.011,0.0
5,1970,93.716,5.878,0.386,78.039,21.961,0.0
6,1971,93.56,5.905,0.516,78.995,21.005,0.0
7,1972,93.431,5.869,0.679,77.955,22.045,0.0
8,1973,93.489,5.632,0.86,79.166,20.834,0.0
9,1974,92.717,6.146,1.118,78.816,21.184,0.0
10,1975,92.248,6.191,1.544,82.347,17.653,0.0
11,1976,92.4,5.869,1.714,86.571,13.429,0.0
12,1977,92.065,5.855,2.058,75.75,24.25,0.0
13,1978,91.585,6.089,2.299,75.062,24.938,0.0
14,1979,91.472,6.183,2.311,75.582,24.418,0.0
15,1980,91.039,6.375,2.548,81.803,18.197,0.0
16,1981,90.391,6.551,3.023,88.197,11.803,0.0
17,1982,89.923,6.733,3.298,85.085,14.915,0.0
18,1983,89.339,6.925,3.679,83.285,16.715,0.0
19,1984,88.817,6.855,4.263,80.675,19.325,0.0
20,1985,88.182,6.813,4.93,78.972,21.028,0.0
21,1986,87.969,6.775,5.164,83.932,16.068,0.0
22,1987,87.831,6.65,5.428,83.177,16.823,0.0
23,1988,87.595,6.611,5.701,79.956,20.044,0.0
24,1989,87.662,6.49,5.751,90.726,9.274,0.0
25,1990,87.383,6.77,5.847,86.077,13.923,0.0
26,1991,87.027,6.89,6.083,86.578,13.422,0.0
27,1992,87.043,6.869,6.088,92.567,7.433,0.0
28,1993,86.533,7.216,6.251,87.629,12.371,0.0
29,1994,86.519,7.195,6.286,85.275,14.725,0.0
30,1995,86.162,7.421,6.417,89.192,10.808,0.0
31,1996,86.217,7.317,6.465,82.294,17.706,0.0
32,1997,86.235,7.407,6.358,84.289,15.711,0.0
33,1998,86.117,7.453,6.43,85.691,14.309,0.0
34,1999,86.031,7.409,6.559,91.482,8.518,0.0
35,2000,86.065,7.392,6.543,87.705,12.295,0.0
36,2001,86.249,7.133,6.619,85.25,14.75,0.0
37,2002,86.317,7.146,6.537,90.901,9.099,0.0
38,2003,86.938,6.917,6.144,83.914,16.086,0.0
39,2004,86.825,7.091,6.084,88.692,11.308,0.0
40,2005,86.984,7.144,5.872,92.496,7.504,0.0
41,2006,86.982,7.274,5.745,85.377,14.623,0.0
42,2007,87.271,7.306,5.423,84.837,15.163,0.0
43,2008,86.907,7.778,5.315,85.805,14.195,0.0
44,2009,86.644,8.067,5.289,82.262,17.738,0.0
45,2010,86.571,8.287,5.142,74.023,25.977,0.0
46,2011,86.768,8.451,4.781,76.882,23.118,0.0
47,2012,86.779,8.854,4.367,79.657,20.343,0.0
48,2013,86.466,9.238,4.296,72.451,27.549,0.0
49,2014,86.099,9.586,4.315,71.299,28.701,0.0
50,2015,85.868,9.823,4.309,76.999,23.001,0.0
51,2016,85.472,10.239,4.289,72.306,27.694,0.0
52,2017,85.157,10.618,4.225,79.972,20.028,0.0
53,2018,84.834,10.978,4.188,74.656,25.344,0.0
54,2019,84.275,11.437,4.287,75.171,24.829,0.0
55,2020,83.139,12.553,4.308,69.801,30.199,0.0
