Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,South America,North America,Asia,Africa,Europe,Oceania
1985,11048.449,1903.481,381.828,5283.996,1431.776,7895.53,4390.94,1292.619,8029.755,647.468,,5295.7,
1986,11023.557,2050.587,410.524,5326.569,1463.547,8137.355,4425.638,1337.213,8004.765,672.025,,5407.393,
1987,11312.686,2030.951,445.542,5332.179,1443.177,8392.366,4442.656,1355.946,8219.034,716.322,,5579.6,
1988,11781.619,2271.8,479.211,5435.839,1496.599,8714.548,4505.325,1396.553,8492.377,751.458,,5694.84,
1989,12635.657,2609.287,504.861,5521.526,1515.353,9060.255,4546.584,1395.277,8954.613,793.602,,5771.009,
1990,12822.368,2862.959,527.835,5561.625,1495.405,9177.358,4544.122,1387.776,8969.205,839.146,,5855.657,
1991,12849.581,2997.161,567.987,5608.929,1545.529,9189.677,4462.372,1439.721,9036.946,871.032,,5839.165,
1992,12780.194,2975.489,624.789,5558.956,1567.243,9274.729,4346.487,1451.824,8991.103,908.151,,5687.984,
1993,13118.522,3100.041,665.883,5584.328,1606.66,9395.019,4408.011,1512.115,9181.322,942.203,,5575.854,
1994,13188.339,3118.955,754.297,5626.748,1631.037,9559.359,4479.088,1549.712,9262.293,1002.278,,5474.675,
1995,13453.314,3285.001,811.519,5739.098,1701.035,9738.437,4504.684,1604.195,9402.791,1053.628,,5541.044,
1996,13652.286,3395.495,863.917,6010.99,1769.458,9902.924,4736.913,1656.561,9531.387,1090.376,,5614.953,
1997,13677.552,3355.426,899.805,5988.785,1841.891,10277.771,4893.567,1712.07,9541.886,1126.866,,5632.479,
1998,14012.188,3809.46,917.466,6171.256,1895.033,10731.732,4701.543,1750.665,9718.352,1146.84,,5712.007,
1999,14130.762,4184.504,967.059,6220.636,1942.484,11012.212,4578.679,1781.117,9812.364,1185.614,,5796.072,
2000,13496.46,4212.83,1050.404,6353.683,1959.948,10434.178,4369.135,1980.357,9618.733,1240.632,518.444,5929.866,7747.95
2001,13093.167,4464.555,1139.832,6467.225,1823.799,11030.663,4312.805,1904.716,9342.994,1279.558,526.163,6036.592,8101.125
2002,13375.762,4395.343,1265.153,6482.792,1895.37,11063.139,4411.397,1931.851,9516.776,1346.994,542.982,6073.356,8126.828
2003,13341.279,4460.376,1452.577,6639.532,1974.047,10886.07,4671.312,2005.707,9447.244,1430.43,556.206,6203.108,8001.491
2004,13510.337,4280.424,1665.283,6535.359,2071.503,11221.02,4826.226,2103.301,9566.723,1539.552,576.488,6322.115,8231.681
2005,13671.589,4394.54,1878.798,6558.856,2126.074,10689.573,4787.326,2155.352,9704.908,1632.006,584.76,6394.735,7905.56
2006,13584.813,4606.919,2141.14,6468.781,2189.168,10713.572,4879.411,2246.979,9612.006,1747.89,594.649,6505.61,7912.504
2007,13773.765,4434.818,2438.005,6394.582,2299.316,10973.239,5024.658,2332.926,9741.61,1883.036,605.822,6566.425,8055.373
2008,13526.323,4292.464,2582.623,6192.604,2367.803,10760.682,4835.929,2395.384,9567.52,1920.444,600.421,6613.365,7906.379
2009,12854.27,4666.135,2729.006,5938.058,2365.662,10791.761,4588.227,2389.117,9115.985,1975.604,587.91,6277.038,7902.247
2010,13304.782,5066.98,3059.086,5970.867,2589.242,10776.5,4744.131,2500.257,9356.322,2156.645,616.759,6538.762,7906.041
2011,13113.796,4908.515,3408.179,5702.11,2648.463,10651.787,4701.391,2572.296,9319.344,2301.251,607.712,6471.276,7806.215
2012,12857.981,4329.153,3588.526,5593,2724.158,10363.277,4559.68,2646.477,9160.039,2368.38,616.571,6501.584,7594.857
2013,12808.511,4824.776,3885.843,5468.729,2782.438,10158.284,4441.847,2721.511,9131.111,2481.26,616.574,6433.297,7435.702
2014,12843.304,4987.414,4121.829,5123.729,2849.277,9945.998,4335.751,2677.715,9120.527,2590.851,623.645,6306.057,7311.355
2015,12717.563,4944.858,4114.02,5091.698,2781.264,9953.829,4180.632,2734.049,9047.636,2603.699,625.986,6338.818,7312.583
2016,12644.049,5726.577,4307.466,5072.254,2754.955,10019.903,4190.355,2712.459,9008.037,2700.592,616.484,6396.693,7329.922
2017,12455.829,5608.189,4615.172,5021.921,2778.566,9954.191,4161.92,2703.666,8871.283,2821.48,624.84,6410.059,7282.751
2018,12836.68,5695.096,4987.092,4922.427,2821.75,9953.349,4084.612,2722.336,9096.282,2962.62,619.96,6417.074,7264.711
2019,12629.667,5058.586,5200.373,4763.056,2911.876,9929.691,3986.115,2748.786,8955.675,3040.586,619.129,6351.066,7238.171
2020,12208.301,5054.573,5368.799,4529.21,2926.288,9546.712,3791.013,2723.119,8649.553,3044.109,591.251,6138.279,7011.372
2021,12486.968,4797.44,5857.711,4479.444,2992.895,9580.345,3825.989,,8582.041,,,6324.505,
