Years,United States,Portugal,China,United Kingdom,Brazil,Australia,South Africa,India,South America,North America,Asia,Africa,Europe,Oceania
1965,32115.178,3444.886,178.209,16329.393,2131.74,17680.211,3474.79,294.507,,,,,,
1966,33340.227,3550.013,223.325,17389.34,2261.443,18462.891,3680.07,322.095,,,,,,
1967,34274.771,3945.226,214.656,18586.548,2271.711,19697.056,3908.969,325.442,,,,,,
1968,36237.896,4263.052,228.339,19580.008,2657.419,20898.115,4140.458,357.039,,,,,,
1969,37714.877,4493.876,297.827,20956.91,2841.807,20964.117,4434.542,419.694,,,,,,
1970,39024.713,6206.574,401.215,22111.015,3135.404,22683.888,4680.621,408.674,,,,,,
1971,40029.933,7002.972,532.045,22158.197,3370.798,23443.701,4981.421,428.502,,,,,,
1972,42762.359,7540.076,597.706,23434.515,3785.104,23484.58,5285.834,451.539,,,,,,
1973,44870.886,8178.587,712.753,24006.268,4550.501,24709.53,5677.618,465.658,,,,,,
1974,42703.263,8590.155,802.534,22264.6,4792.84,25852.305,5388.352,446.028,,,,,,
1975,41308.171,8866.751,868.11,19451.384,4831.785,25273.903,5578.639,446.304,,,,,,
1976,44008.145,9157.846,975.073,19325.056,5103.749,25533.07,5500.657,459.92,,,,,,
1977,46032.721,8936.965,1013.729,19481.586,5097.784,26439.586,5314.707,482.894,,,,,,
1978,46626.711,9144.276,1107.418,19984.723,5415.648,26734.243,5446.689,512.921,,,,,,
1979,45121.282,9671.052,1094.478,20164.311,5557.756,26775.485,5034.26,540.96,,,,,,
1980,41195.875,10256.713,1011.632,17241.401,5241.773,25209.612,5045.118,539.116,,,,,,
1981,38045.725,10794.48,947.126,15959.783,4884.738,24525.459,5322.136,567.045,,,,,,
1982,35713.251,11246.365,925.065,16137.574,4836.995,23822.994,5248.532,577.211,,,,,,
1983,35213.633,11313.658,932.351,15508.558,4487.437,21065.563,5157.942,592.923,,,,,,
1984,35983.539,11269.267,952.394,19044.697,4441.618,21459.889,5466.333,622.127,,,,,,
1985,35511.232,10909.621,981.099,16523.785,4411.14,21246.684,5203.361,659.947,,,,,,
1986,36890.263,11631.809,1025.169,16529.621,4771.453,20615.402,4900.369,678.649,,,,,,
1987,37306.902,11315.211,1068.956,16035.97,4812.553,20803.736,5062.749,685.348,,,,,,
1988,38488.111,11866.198,1127.341,17012.092,4803.634,21393.622,5449.275,736.148,,,,,,
1989,38111.956,14953.261,1159.549,17341.136,4750.896,21928.727,5515.688,780.716,,,,,,
1990,36914.598,13749.005,1131.437,17515.232,4607.759,22101.806,5437.476,794.774,,,,,,
1991,35784.315,14311.392,1206.867,17385.989,4578.441,21095.828,5348.894,792.239,,,,,,
1992,36177.955,15717.404,1297.645,17532.701,4852.878,21293.151,5387.894,818.411,,,,,,
1993,36126.75,14779.014,1419.96,17572.908,4965.286,21703.555,5469.4,810.912,,,,,,
1994,36682.848,14675.948,1426.092,17340.87,5214.567,22225.969,5577.195,854.765,,,,,,
1995,36194.748,16484.193,1531.26,17088.082,5355.584,23774.573,5822.528,935.088,,,,,,
1996,37069.882,15619.36,1664.119,17458.963,5607.294,24135.969,5883.084,990.224,,,,,,
1997,37097.058,16669.457,1801.334,16900.863,5932.988,24259.162,5876.203,1038.922,,,,,,
1998,37253.051,18203.449,1836.013,16776.179,6090.842,23993.648,5870.877,1092.228,,,,,,
1999,37828.652,18768.105,1939.245,16483.943,6092.881,24278.783,5863.54,1177.757,,,,,,
2000,37819.415,18326.673,2062.018,16203.65,5914.494,24009.874,5877.517,1212.633,,,,,,
2001,37373.71,18220.045,2094.379,16110.055,5929.799,23813.151,5924.403,1195.37,,,,,,
2002,37045.553,18735.646,2247.299,15947.2,5734.662,23811.477,6000.799,1199.684,,,,,,
2003,37277.817,17493.493,2487.279,16004.15,5495.46,23453.755,6141.444,1202.087,,,,,,
2004,38302.369,17684.06,2887.249,16347.734,5611.375,23707.459,6294.83,1251.938,,,,,,
2005,38014.692,18193.288,2920.684,16799.515,5663.689,23660.933,6228.391,1253.166,,,,,,
2006,37180.803,16056.653,3119.36,16505.998,5710.376,24026.792,6269.658,1303.5,,,,,,
2007,36598.32,16246.784,3254.878,15810.02,5875.359,23962.011,6316.15,1371.61,,,,,,
2008,33852.312,15670.177,3301.739,15273.054,6075.477,23553.38,5910.569,1419.808,,,,,,
2009,31789.136,14503.806,3406.867,14358.027,5962.918,22526.842,5716.631,1472.809,,,,,,
2010,32009.285,14200.106,3854.111,13996.082,6442.618,22383.349,5881.781,1484.727,,,,,,
2011,31121.422,13371.991,3971.915,13640.331,6787.044,23141.09,5860.745,1535.821,,,,,,
2012,30172.369,12225.972,4140.44,13143.402,6938.47,23580.122,5916.673,1608.825,,,,,,
2013,30464.24,12686.512,4298.437,12833.517,7273.849,23940.045,5925.4,1601.496,,,,,,
2014,30454.535,12969.208,4443.376,12733.491,7443.571,23648.702,5750.886,1626.901,,,,,,
2015,30870.216,12915.556,4785.632,13002.507,6917.03,23154.794,6248.906,1738.696,,,,,,
2016,30893.483,13221.114,4923.4,13337.557,6507.346,22929.172,5906.678,1885.994,,,,,,
2017,30997.627,13221.363,5122.014,13272.624,6555.706,23658.843,5809.924,1921.218,,,,,,
2018,31542.765,13188.07,5265.921,13013.834,6260.629,23726.44,5716.047,1987.249,,,,,,
2019,31344.732,13642.917,5412.07,12680.593,6331.029,23239.271,5570.546,2030.415,,,,,,
2020,27307.882,11195.148,5500.126,9762.919,6020.27,19932.558,4760.58,1815.862,,,,,,
